Home Team,Home Score,Visitor Score,Visiting Team
Purdue Boilermakers,21,38,Oregon State Beavers
Baylor Bears,31,38,Colorado Buffaloes
Louisiana-Monroe Warhawks,3,51,Texas Longhorns
Michigan State Spartans,19,23,Boston College Eagles
Georgia Southern,13,52,Ole Miss Rebles
Akron Zips,7,50,South Carolina Gamecocks
Bowling Green Falcons,20,26,Texas A&M Aggies
Iowa Hawkeyes,31,14,Minnesota Golden Gophers
Tennessee Volunteers,25,15,Oklahoma Sooners
Cal Golden Bears,9,14,Florida State Seminoles
Florida A&M,12,34,Troy Trojans
Florida Atlantic Owls,14,48,Connecticut Huskies
Miami Hurricanes,50,15,South Florida Bulls
New Mexico State Aggies,11,31,Sam Houston State
Northwestern Wildcats,5,24,Washington Huskies
Toledo Rockets,21,26,Western Kentucky Hilltoppers
Tulsa Golden Hurricane,23,20,Louisiana Tech Bulldogs
Wyoming Cowboys,17,44,North Texas Mean Green
East Carolina Pirates,24,35,Liberty Flames
Monmouth Hawks,45,42,FIU Golden Panthers
TCU Horned Frogs,42,66,SMU Mustangs
UTEP Miners,17,27,Colorado State Rams
Vanderbilt Commodores,27,30,Missouri Tigers
Duke Blue Devils,45,17,Middle Tennessee St. Blue Raiders
Utah Utes,22,19,Oklahoma State Cowboys
Arizona State Sun Devils,22,30,Texas Tech Red Raiders
Arkansas Razorbacks,24,14,Auburn Tigers
Buffalo Bulls,23,20,Northern Illinois Huskies
Central Connecticut State,31,35,UMass Minutemen
Georgia Tech Yellow Jackets,19,31,Louisville Cardinals
Houston Christian,7,45,UTSA
Kent State Golden Flashes,0,56,Penn State Nittany Lions
Memphis Tigers,44,56,Navy Midshipmen
Miami RedHawks,3,28,Notre Dame Fighting Irish
Rutgers Scarlet Knights,26,23,Virginia Tech Hokies
UCLA Bruins,17,34,LSU Tigers
USC Trojans,24,27,Michigan Wolverines
Youngstown State,17,73,Pittsburgh Panthers
Southern Miss Golden Eagles,7,44,Jacksonville State
Washington Eagles,16,49,Nevada Wolf Pack
Arkansas State Red Wolves,7,52,Iowa State Cyclones
St. Francis (PA),0,36,Eastern Michigan Eagles
Utah State Aggies,29,45,Temple Owls
Virginia Cavaliers,43,24,Coastal Carolina Chanticleers
Ball State Cardinals,34,37,Central Michigan Chippewas
Ohio Bobcats,6,41,Kentucky Wildcats
Charlotte,14,52,Indiana Hoosiers
Florida Gators,45,28,Mississippi State Bulldogs
Houston Cougars,0,34,Cincinnati Bearcats
James Madison,70,50,North Carolina Tar Heels
Kansas Jayhawks,28,32,West Virginia Mountaineers
Marshall Thundering Herd,14,49,Ohio State Buckeyes
NC State Wolfpack,35,59,Clemson Tigers
Rice Owls,14,37,Army Black Knight
Tulane Green Wave,41,33,Louisiana-Lafayette Ragin' Cajuns
Villanova Wildcats,20,38,Maryland Terrapins
San Jose State Spartans,52,54,Washington State Cougars
Illinois Fighting Illini,31,24,Nebraska Cornhuskers
Stanford Cardinal,26,24,Syracuse Orange
South Alabama,48,14,Appalachian State
New Mexico State Aggies,0,48,Fresno State Bulldogs
San Diego State Aztecs,10,31,Cal Golden Bears
Brigham Young Cougars,34,14,Wyoming Cowboys
Maryland Terrapins,27,13,Virginia Cavaliers
Rice Owls,7,33,Houston Cougars
Kent State Golden Flashes,0,71,Tennessee Volunteers
Air Force Falcons,3,31,Baylor Bears
Colorado Buffaloes,28,9,Colorado State Rams
Eastern Illinois Panthers,7,31,Northwestern Wildcats
Georgia Bulldogs,13,12,Kentucky Wildcats
Indiana Hoosiers,42,13,UCLA Bruins
New Mexico Lobos,19,45,Auburn Tigers
Northern Iowa,3,34,Nebraska Cornhuskers
Toledo Rockets,41,17,Mississippi State Bulldogs
UCF Knights,35,34,TCU Horned Frogs
Hawaii Warriors,13,31,Sam Houston State
Jacksonville State,34,37,Eastern Michigan Eagles
Kennesaw State,10,31,San Jose State Spartans
South Florida Bulls,49,24,Southern Miss Golden Eagles
UTSA,7,56,Texas Longhorns
Vanderbilt Commodores,32,36,Georgia State Panthers
Western Kentucky Hilltoppers,49,21,Middle Tennessee St. Blue Raiders
Bethune Cookman,31,59,Western Michigan Broncos
Ole Miss Rebles,40,6,Wake Forest Demon Deacons
Colgate R.,20,31,Akron Zips
Connecticut Huskies,21,26,Duke Blue Devils
FIU Golden Panthers,20,38,Florida Atlantic Owls
Gardner-Webb,26,27,Charlotte
North Carolina Central Eagles,10,45,North Carolina Tar Heels
South Carolina State,14,42,Georgia Southern
UTEP Miners,10,28,Liberty Flames
Virginia Tech Hokies,37,17,Old Dominion
Utah Utes,38,21,Utah State Aggies
UAB Blazers,27,37,Arkansas Razorbacks
Appalachian State,21,19,East Carolina Pirates
Troy Trojans,21,38,Iowa Hawkeyes
